Crisis Name,Crisis Num.,Actors,Trig Date,Term Date,Summary Link,Summary URL
GAZA RAID-CZECH. ARMS,149,EGY; ISR,2/28/55,6/23/56,GAZA RAID-CZECH. ARMS,https://drive.google.com/open?id=1sIojnyyxKIbw5eI-M8ff9EfCKRC9nEPo
PUSHTUNISTAN II,150,AFG; PAK,3/27/55,Nov-55,PUSHTUNISTAN II,https://drive.google.com/open?id=1KEUpYfNZrBEbrk44qi_ZpU3BNtlgYyJf
GOA I,151,POR,8/10/55,9/6/55,GOA I,https://drive.google.com/open?id=1vLXp1AdayRlgyoNOkAbhPb9Zskkiim6P
SUEZ NATN.-WAR,152,FRN; UKG; EGY; RUS; USA; ISR,7/26/56,3/12/57,SUEZ NATN.-WAR,https://drive.google.com/open?id=1j-O7kMT6KZywjqz0RZfo9ulKrsTqHfX-
QALQILYA,153,JOR; ISR,9/13/56,Oct-56,QALQILYA,https://drive.google.com/open?id=15pZUo4RqBTqZgo-fa8Y8mecPWBx8YuRW
POLAND LIBERALIZATION,154,RUS; POL,10/15/56,10/22/56,POLAND LIBERALIZATION,https://drive.google.com/open?id=19z2vP1Km4XjjE7VVYZbuOoR9doqhTk7p
HUNGARIAN UPRISING,155,RUS; HUN,10/23/56,Jan-57,HUNGARIAN UPRISING,https://drive.google.com/open?id=1yRGv3wOISLCIrY9cQRTCIpBstk5KukRw
MOCORON INCIDENT,156,NIC; HON,2/26/57,5/9/57,MOCORON INCIDENT,https://drive.google.com/open?id=1DiLIWJWuzQbsmfjMmtnIhDIuWk82bYaE
JORDAN REGIME,157,JOR,4/4/57,5/3/57,JORDAN REGIME,https://drive.google.com/open?id=1d2yESt10DKbM3QFUI3Xg4WG9v--TM6y3
FRANCE/TUNISIA,158,TUN,5/31/57,6/17/58,FRANCE/TUNISIA,https://drive.google.com/open?id=1x2xYEtmYXeZZyXexrdGCM3nF_M_w8ZJk
SYRIA/TURKEY CONFRNT.,159,TUR; USA; SYR,8/18/57,10/29/57,SYRIA/TURKEY CONFRNT.,https://drive.google.com/open?id=1d3-v_C1rY2JR6MZXZ_mHxkVcX0C4Z5Xf
IFNI,160,SPN,11/23/57,Apr-58,IFNI,https://drive.google.com/open?id=1DGagK88WvDDEf7JOH4xGNpfSbX3MnhDO
WEST IRIAN I,161,NTH,12/1/57,,WEST IRIAN I,https://drive.google.com/open?id=1E1M0Lt-t2mIZFsv8vRonX6SYmfxwsxWA
FORMATION OF UAR,162,IRQ; JOR,2/1/58,2/14/58,FORMATION OF UAR,https://drive.google.com/open?id=1MAc540x-z8-uK_ztgU__KHwJbpzf7YKB
EGYPT/SUDAN BORDER I,163,SUD,2/9/58,2/25/58,EGYPT/SUDAN BORDER I,https://drive.google.com/open?id=1nC2J8x1IF4K9rhnUVh5zZGXZSn8K7KWx
ABORT. COUP INDONESIA,164,INS,2/21/58,5/20/58,ABORT. COUP INDONESIA,https://drive.google.com/open?id=1Vxu4AnAtDYqgQkkBAoqliESImxyO2sWl
IRAQ/LEB. UPHEAVAL,165,LEB; JOR; UKG; USA,5/8/58,Oct-58,IRAQ/LEB. UPHEAVAL,https://drive.google.com/open?id=1hKND8oRX34xzeinFz262B9tSGpk5Jkbb
TAIWAN STRAIT II,166,TAW; USA; CHN,7/17/58,10/23/58,TAIWAN STRAIT II,https://drive.google.com/open?id=1nkhFLm-zNDItenGspQZf7qtmLsFHEMEv
CAMBODIA/THAILAND,167,THI; CAM,7/24/58,2/6/59,CAMBODIA/THAILAND,https://drive.google.com/open?id=1ELYkT6anZL9NSAeSXMie02lIC9qfe-FN
BERLIN DEADLINE,168,FRN; UKG; USA; GFR; GDR; RUS,11/27/58,9/15/59,BERLIN DEADLINE,https://drive.google.com/file/d/1wdy7RHSPCNq3eN-rcPLCnrtossmtTUm8/view?usp=drive_link
MEX./GUAT. FISHING,169,GUA; MEX,12/29/58,2/1/59,MEX./GUAT. FISHING,https://drive.google.com/open?id=1lQ_55ou0rSGe1hSn252MPJY2JTOzdNz7
CEN. AMERICA/CUBA I,170,PAN; NIC; DOM; HAI,4/25/59,Dec-59,CEN. AMERICA/CUBA I,https://drive.google.com/open?id=1w22DBEKG_CFCbpjCy6_ammUfhYZcHrT5
CHINA/INDIA BRD. I,171,CHN; IND,8/25/59,4/19/60,CHINA/INDIA BRD. I,https://drive.google.com/open?id=1rK0eP8EaELurSkcqi1rJXgbc_vaqePxz
SHATT-AL-ARAB I,172,IRQ; IRN,11/28/59,1/4/60,SHATT-AL-ARAB I,https://drive.google.com/open?id=1cTDnsgN1hx5p1Vc3JlCHLY3JU1zhE0QV
ROTTEM,173,EGY; ISR,2/15/60,3/8/60,ROTTEM,https://drive.google.com/open?id=1qSOPj_nl5m4Fbn_oVGUY_GkGdJU2fs-b
GHANA/TOGO BORDER I,174,GHA,Mar-60,4/1/60,GHANA/TOGO BORDER I,https://drive.google.com/open?id=1aICStm9Ckq9hIS8goPhTYhC5Pjp_ZrRU
FAILED ASS. VENEZUELA,175,VEN; DOM,6/24/60,Sep-60,FAILED ASS. VENEZUELA,https://drive.google.com/open?id=1D8otiNtKDnOIqyqPqX2dtQvkQDmS9DNi
CONGO I-KATANGA,176,BEL; CON; CON,7/5/60,2/15/62,CONGO I-KATANGA,https://drive.google.com/open?id=1JREIQkouV4H2URwKnAeazjR24c23rYml
MALI FEDERATION,177,MLI; SEN,8/20/60,9/22/60,MALI FEDERATION,https://drive.google.com/open?id=10g4hDk9ROEBaZyOM-NoFALUe0FIV6d8E
CEN. AMERICA/CUBA II,178,NIC; GUA,11/9/60,12/7/60,CEN. AMERICA/CUBA II,https://drive.google.com/open?id=10YR3UhPBPDK0fXNnqgMlHRa-BMuM-B9O
ETHIOPIA/SOMALIA,179,ETH,12/26/60,1961,ETHIOPIA/SOMALIA,https://drive.google.com/open?id=14ZfiyEg3WB9n7n_kmtsFrH3NaBTstaGQ
PATHET LAO OFFENSIVE,180,USA; THI,3/9/61,5/16/61,PATHET LAO OFFENSIVE,https://drive.google.com/open?id=1AHPkVud4HbZRYD6bWIKfEf0sriOFLHMW
BAY OF PIGS,181,CUB; USA,4/15/61,4/24/61,BAY OF PIGS,https://drive.google.com/open?id=1TD2ZKJI0AQJjjTHQXLZ2JyFmMLpRgoLV
PUSHTUNISTAN III,182,PAK; AFG,5/19/61,1/29/62,PUSHTUNISTAN III,https://drive.google.com/open?id=1tlUa0L0kC0GNVShYriKh0lGMuOMQKhcl
KUWAIT INDEPENDENCE,183,IRQ; KUW; UKG,6/19/61,7/13/61,KUWAIT INDEPENDENCE,https://drive.google.com/open?id=1rxK0hcX7IqUx3ZJOj-snt8PCgWxxkjcA
BIZERTA,184,FRN; TUN,7/17/61,9/29/61,BIZERTA,https://drive.google.com/open?id=1Xk8ITUiyOIY5KaN8xaLDhhTjDx8PNOQZ
BERLIN WALL,185,GDR; RUS; FRN; UKG; GFR; USA,Aug-61,10/28/61,BERLIN WALL,https://drive.google.com/open?id=1QmwlGQbRmKH8oAkgD9tITHDvi4UkxYvu
VIET CONG ATTACK,186,RVN; USA,9/18/61,11/15/61,VIET CONG ATTACK,https://drive.google.com/open?id=1f7mC920jJYf96i0VdsTSaPZqX8Bbbu7O
WEST IRIAN II,187,INS; NTH,9/26/61,8/15/62,WEST IRIAN II,https://drive.google.com/open?id=1G2RXS-EoBpwj7M-AVCVnRBAvubC9yN2T
BREAKUP OF UAR,188,EGY,9/28/61,10/5/61,BREAKUP OF UAR,https://drive.google.com/open?id=1xnAMjHbSasMFri7nmtgV6kBkRL9ATWXa
SOV. NOTE/FINLAND II,189,FIN,10/30/61,11/24/61,SOV. NOTE/FINLAND II,https://drive.google.com/open?id=1HHKcRGzej3Yof-_Z-qyMsmujNbA-omHI
GOA II,190,POR,12/11/61,12/19/61,GOA II,https://drive.google.com/open?id=1GVpAYuWRkyTzK8GpGzigubUUZDNK_CXE
MALI/MAURITANIA,191,MAA,3/29/62,2/18/63,MALI/MAURITANIA,https://drive.google.com/open?id=11wspVX6rEaBAmrXzrW4MLX49F9fWRTgO
TAIWAN STRAIT III,192,CHN,4/22/62,6/27/62,TAIWAN STRAIT III,https://drive.google.com/open?id=1e6Iu6bqbx6S5a6duRLxqmc3vGCvSaVC0
NAM THA,193,THI; USA,5/6/62,6/12/62,NAM THA,https://drive.google.com/open?id=14lpkK-1ng8y0PBsjqFIZVR-agljM4IrC
CHINA/INDIA BDR. II,194,IND; CHN; IND,9/8/62,1/23/63,CHINA/INDIA BDR. II,https://drive.google.com/open?id=1QxLWLgq44oC5gd3TfvH3rfVdaXDsHZzO
YEMEN WAR I,195,JOR; SAU; EGY; YEM,9/26/62,4/15/63,YEMEN WAR I,https://docs.google.com/document/d/1NL6gy0KQqhpbRfKIQ8fyk3fnFzUF53FqvMmSUJbI4eI/edit?usp=sharing
CUBAN MISSILES,196,USA; CUB; RUS,10/16/62,11/20/62,CUBAN MISSILES,https://drive.google.com/open?id=1gb0kDri_VFUwOJoi9XR07wmwgAw3Z10a
MALAYSIA FEDERATION,197,MAL; INS,2/11/63,8/9/65,MALAYSIA FEDERATION,https://drive.google.com/open?id=1G7YgDVSo8ZjVU9iRrbVgxmOAUsnXCXzz
DOM. REP./HAITI II,198,DOM; HAI,4/26/63,6/3/63,DOM. REP./HAITI II,https://drive.google.com/open?id=1_hLGwUnkdXjbXWb8KZoX2wFePP_8u_4a
ALGERIA/MOROCCO BDR.,199,ALG; MOR,10/1/63,11/4/63,ALGERIA/MOROCCO BDR.,https://drive.google.com/open?id=1--h_iK7IslFAfyqNL72uv40LbS6YGjyb
CUBA/VENEZUELA,200,VEN,11/1/63,12/1/63,CUBA/VENEZUELA,https://drive.google.com/open?id=12BcNVOpDT2VK1mbTcHDEK4kHyJJIRnFP
KENYA/SOMALIA,201,KEN,11/20/63,3/4/64,KENYA/SOMALIA,https://drive.google.com/file/d/1vRs773gAoSaClP-VvRCuQVBUOlL9CBMf/view?usp=share_link
CYPRUS I,202,TUR; CYP; GRC,11/30/63,8/10/64,CYPRUS I,https://drive.google.com/open?id=1RYLWh_9ZF2mzKAFBPMaaXKW6gYvwo23V
JORDAN WATERS,203,JOR; LEB; SYR; EGY; ISR,12/11/63,5/5/64,JORDAN WATERS,https://docs.google.com/document/d/1eWgyvYX0vxQlTFy9BrIZKqS1zTGduLJc3rly2_hoCaE/edit?usp=sharing
DAHOMEY/NIGER,204,NIR; BEN,12/21/63,1/4/64,DAHOMEY/NIGER,https://drive.google.com/open?id=1vQGc2bkvaYLgR6D2UpE_RrQ-MsscxxUx
BURUNDI/RWANDA,205,RWA; BUI,12/21/63,Apr-64,BURUNDI/RWANDA,https://drive.google.com/open?id=1wbveq2MiqjcdQ3AvzQtETBgPhqTh94BR
PANAMA FLAG,206,PAN; USA,1/9/64,1/12/64,PANAMA FLAG,https://drive.google.com/open?id=1d8pd7o-qK75JaeIe39_aazGORSmEuUG6
E. AFRICA REBELLIONS,207,UKG,1/19/64,1/30/64,E. AFRICA REBELLIONS,https://drive.google.com/open?id=1ATH1tCkQKx2C3gd1_o7ghHTL003Mci1e
OGADEN I,208,ETH; SOM,2/7/64,3/30/64,OGADEN I,https://drive.google.com/open?id=1EHG4j3hn_OS_kVkkMpQDLgiS_ubtAw3T
YEMEN WAR II,209,YEM; EGY; SAU,May-64,11/8/64,YEMEN WAR II,https://drive.google.com/open?id=1R2TTmOJV09RRphO8kGtNRDrG-snjfT5h
GULF OF TONKIN,210,DRV; USA,7/30/64,Aug-64,GULF OF TONKIN,https://drive.google.com/open?id=1wqNrb33ZXJHlaXAAOzFEjXzeFWccBKcN
CONGO II,211,CON; BEL; USA; RUS,8/4/64,12/30/64,CONGO II,https://drive.google.com/file/d/1TQnj0EUvhUOPafoEwbpZNDP96dOhmfr-/view?usp=share_link
YEMEN WAR III,212,EGY; YEM; SAU,12/3/64,8/25/65,YEMEN WAR III,https://drive.google.com/open?id=1R5MuBLdxPZCGrKFTEGCcGQWqHbFjpOIK
PLEIKU,213,RVN; USA; DRV,2/7/65,Mar-65,PLEIKU,https://drive.google.com/open?id=1-XQFbIrDhT5IIyRh1sOw-o50Urg2Btwm
RANN OF KUTCH,214,IND; PAK,4/8/65,6/30/65,RANN OF KUTCH,https://drive.google.com/open?id=1qtz_o6a2SkwrdT6loYyT1wlbCaqCLDCF
DOMINICAN INTERVENTN.,215,USA,4/24/65,8/31/65,DOMINICAN INTERVENTN.,https://drive.google.com/open?id=1_crxvN6oGgd7OXBe8nkZkjRgljSN_sUt
KASHMIR II,216,IND; PAK; IND,8/5/65,1/10/66,KASHMIR II,https://drive.google.com/open?id=1jhEZTYhZvxJx_pddZHjTIzoYJEUm_GvV
GUINEA REGIME,217,GUI,10/9/65,Dec-65,GUINEA REGIME,https://drive.google.com/open?id=1H1YAyH1-gmW8AuBoKjgFNkBIS6Dt1J4m
RHODESIA'S UDI,218,ZAM,11/5/65,4/27/66,RHODESIA'S UDI,https://drive.google.com/open?id=1P-g3hpuT5sChtIj5f_4M0GUef3GfdPJ1
YEMEN WAR IV,219,SAU; EGY; YEM,10/14/66,9/26/67,YEMEN WAR IV,https://drive.google.com/open?id=1_dBwSym6oW1_ZpAERY9yX23ZRxIHFJFg
EL SAMU,220,ISR; JOR,11/12/66,11/15/66,EL SAMU,https://drive.google.com/open?id=1z3JQ6fWAKJVaFrtpMmTeGSryliVqa9w9
CHE GUEVARA-BOLIVIA,221,BOL,3/23/67,10/10/67,CHE GUEVARA-BOLIVIA,https://drive.google.com/open?id=1PS9vK4gzt-0GlEKD9qNWhFlyImDgEgEf
SIX DAY WAR,222,ISR; JOR; EGY; USA; SYR; RUS,5/17/67,6/11/67,SIX DAY WAR,https://drive.google.com/open?id=1_SkHkx0VfI6JTiWkItjJy6dRSuq0JTkh
CYPRUS II,223,TUR; GRC; CYP,11/15/67,12/4/67,CYPRUS II,https://drive.google.com/open?id=1_4OnHwkeeB997ZQdofyMXF2JJE4LmjhL
PUEBLO,224,ROK; USA; PRK,1/21/68,12/23/68,PUEBLO,https://drive.google.com/open?id=13x6IvrnryKBRLeW5l1X9IximSl36-8W3
TET OFFENSIVE,225,RVN; USA,1/30/68,3/31/68,TET OFFENSIVE,https://drive.google.com/open?id=1YlfUc-nb5plVHaYUCEwAM0UFs60XkzUt
KARAMEH,226,ISR; JOR,3/18/68,3/22/68,KARAMEH,https://drive.google.com/open?id=1TrCi_DQlvcc9dfG-PxWjHK9g8sUC2VRg
PRAGUE SPRING,227,GDR; POL; BUL; HUN; RUS; CZE,4/9/68,10/18/68,PRAGUE SPRING,https://drive.google.com/open?id=1a6BF5jLbfRvK8JVoYXbUwkv_o8L3J0SM
ESSEQUIBO I,228,GUY,7/9/68,Aug-68,ESSEQUIBO I,https://drive.google.com/open?id=1JAAprJfIhW1gkfY-amEr-JFBf_l5YNnh
BEIRUT AIRPORT,229,LEB,12/28/68,Jan-69,BEIRUT AIRPORT,https://drive.google.com/open?id=1gTzjV7VyOxr2ztrTQKlPerIe4zY6CpKz
VIETNAM SPRING OFF.,230,USA; RVN,2/22/69,6/8/69,VIETNAM SPRING OFF.,https://drive.google.com/open?id=1bMworD7etuvwhVQNCMmHKAbR8Sikz89B
USSURI RIVER,231,RUS; CHN,3/2/69,10/20/69,USSURI RIVER,https://drive.google.com/open?id=1c8ZUTUDebHckNxFTLL1aRTx8dHFOxYE5
WAR OF ATTRITION,232,ISR; EGY; EGY; RUS; ISR,3/8/69,8/7/70,WAR OF ATTRITION,https://drive.google.com/open?id=1eIAILRm7OM5ucLrAUEx3U2Ou7TPqqGKw
EC-121 SPY PLANE,233,USA,4/15/69,4/26/69,EC-121 SPY PLANE,https://drive.google.com/open?id=1qqIgS12yGMsQ10JsESlAupDhXjjMQiVr
SHATT-AL-ARAB II,234,IRN; IRQ,4/15/69,10/30/69,SHATT-AL-ARAB II,https://drive.google.com/open?id=1ikPvljKZFFvxn2kfFJYP2tmSqWezLaJZ
FOOTBALL WAR,235,SAL; HON,6/15/69,7/30/69,FOOTBALL WAR,https://drive.google.com/open?id=1qjhZPuTTNOqT8vSHAg2924mdE-3PId11
CAIRO AGREEMENT-PLO,236,LEB,10/22/69,11/3/69,CAIRO AGREEMENT-PLO,https://drive.google.com/open?id=1ZEqI6cpdIS8lFsXR-xdinZKMcfSgrHfn
INVASION OF CAMBODIA,237,DRV; CAM; RVN; USA,3/13/70,7/22/70,INVASION OF CAMBODIA,https://drive.google.com/open?id=1ervYNF4a19p3g3aYrIX0YtoSJ0H89Z5k
BLACK SEPTEMBER,238,SYR; USA; ISR; JOR,9/15/70,9/29/70,BLACK SEPTEMBER,https://drive.google.com/open?id=1kY0mPrJYnUs38yWqBN9-yIMpriO9ACJm
CIENFUEGOS SUB. BASE,239,USA,9/16/70,10/23/70,CIENFUEGOS SUB. BASE,https://drive.google.com/open?id=1AuwPzcvN19R9glluTHbp0di2WCZ-uL9Z
CONAKRY RAID,240,GUI,11/22/70,12/11/70,CONAKRY RAID,https://drive.google.com/open?id=1mrdgMIACgWOjwOtF5WP2rOGEWbhQRcIv
INVASION OF LAOS II,241,LAO; DRV,2/8/71,3/25/71,INVASION OF LAOS II,https://drive.google.com/open?id=1b_G8ZpiKEALoZruB_Xj4qld2WXiqN4e1
BANGLADESH,242,BNG; PAK; IND; PAK,3/25/71,12/17/71,BANGLADESH,https://drive.google.com/open?id=1ganx-rIlhDYGLW7S4UxjQnE0TxoCca17
CHAD/LIBYA I,243,LIB; CHA,5/24/71,4/17/72,CHAD/LIBYA I,https://drive.google.com/open?id=124A1-mJpLaP6E7ceMqI6-K9ArejBC7xL
CAPRIVI STRIP,244,ZAM,10/5/71,10/12/71,CAPRIVI STRIP,https://drive.google.com/open?id=1WKRnd4sQx90qXW4n5I8AJCKuOsThsEeB
TANZANIA/UGANDA I,245,TAZ; UGA,10/20/71,11/25/71,TANZANIA/UGANDA I,https://drive.google.com/open?id=14xusbu8_wS10_8nM8oE1Bmoyzw7OaUKL
VIETNAM PORTS MINING,246,RVN; USA; DRV,3/30/72,7/19/72,VIETNAM PORTS MINING,https://drive.google.com/open?id=1FzPvN_SKbNkhFzJdnXJqt2H2mZNZl1Wj
TANZANIA/UGANDA II,247,UGA; TAZ,9/17/72,10/5/72,TANZANIA/UGANDA II,https://drive.google.com/open?id=1E-7OkiyJWgXPV0J5GzQCJjjGklkjrjZ-
NORTH/SOUTH YEMEN I,248,YEM; YPR,9/26/72,11/28/72,NORTH/SOUTH YEMEN I,https://drive.google.com/open?id=1qD-MfzXNWTpNNAFF690t4HbsG5n4PAt3
CHRISTMAS BOMBING,249,RVN; USA; DRV,10/23/72,1/27/73,CHRISTMAS BOMBING,https://drive.google.com/open?id=1LwE_kgSl2BUAqlu2B-FsYA85Tq6mjjV8
ZAMBIA RAID,250,ZAM,1/19/73,2/3/73,ZAMBIA RAID,https://drive.google.com/open?id=14NDMhfxIlXPurI8tIG3eSKNPpfbcg0W0
LIBYAN PLANE,251,ISR,2/21/73,2/21/73,LIBYAN PLANE,https://drive.google.com/open?id=1PJNcvp5JzLa-WyDYW6wmni0KYIcT92s8
IRAQ INVASION/KUWAIT,252,KUW,3/20/73,6/8/73,IRAQ INVASION/KUWAIT,https://drive.google.com/open?id=1mfZK5Znaf9QIy-S0bBH20E116_vY_Coi
ISRAEL MOBILIZATION,253,ISR,4/10/73,Jun-73,ISRAEL MOBILIZATION,https://drive.google.com/open?id=1neQXXolNf__FMqdWtiDX3TU9KVJGHGyw
COD WAR I,254,UKG; ICE,5/14/73,11/13/73,COD WAR I,https://drive.google.com/open?id=195K1l3PUmzWQi8fkavtvsZ5aCCzqC7j4
OCTOBER-YOM KIPPUR WAR,255,ISR; ISR; SYR; USA; EGY; RUS,10/5/73,5/31/74,OCTOBER-YOM KIPPUR WAR,https://drive.google.com/open?id=1gXtlXAQJ3G-48aCfiGm5Ki__0VqcqEsS
OMAN/SOUTH YEMEN,256,OMA,11/18/73,3/11/76,OMAN/SOUTH YEMEN,https://drive.google.com/open?id=12OGy20anZCMmziu0GuP9K9n-Fh947Z0X
CYPRUS III,257,CYP; TUR; GRC,7/15/74,2/24/75,CYPRUS III,https://drive.google.com/open?id=1yajUY6LknSMZnLiAnuqjDnQM577IcxDc
FINAL N. VIETNAM OFF.,258,RVN; CAM,12/14/74,4/30/75,FINAL N. VIETNAM OFF.,https://drive.google.com/open?id=1NazLzBFKDS6jqRpeweF-2n6qp7Ty0_vd
MAYAGUEZ,259,USA; CAM,5/12/75,5/15/75,MAYAGUEZ,https://drive.google.com/open?id=1ZhmwuuwiP7vrpv73D8cz67NE1mqqxO7S
WAR IN ANGOLA,260,ZAM; DRC; SAF; ANG; CUB; RUS; USA,7/12/75,3/27/76,WAR IN ANGOLA,https://drive.google.com/open?id=1cFw2msdKeLYZ6pWbma1tr76abVMu0TQA
MOROCCAN MARCH,261,SPN; MOR; ALG; MAA,10/16/75,4/14/76,MOROCCAN MARCH,https://drive.google.com/open?id=1w3C0JtpzprH70UL2cnkYys3Y-iMKjZUG
BELIZE I,262,UKG,11/1/75,11/30/75,BELIZE I,https://drive.google.com/open?id=1zNyd0d3gV2I1_-jRsGYEXTpM3O35LfkX
COD WAR II,263,UKG; ICE,11/23/75,6/1/76,COD WAR II,https://drive.google.com/open?id=1Rt2L_aZRShnUhTXQIkicTI_GuWqxIAvm
EAST TIMOR I,264,INS,11/28/75,7/17/76,EAST TIMOR I,https://drive.google.com/open?id=1594jQv9ldofd7XRV8qCl_BPsxhZicWlI
LEB. CIVIL WAR,265,SYR,1/18/76,11/15/76,LEB. CIVIL WAR,https://drive.google.com/open?id=1N_zQxY30ri9DR4hLr1wIJEIiQI6BTbHA
UGANDA CLAIMS,266,KEN,2/15/76,2/24/76,UGANDA CLAIMS,https://drive.google.com/open?id=1Po2nMDtcYSShrWMrEnLflZF29NE8CXCT
OPERATION THRASHER,267,ZIM; MZM,2/22/76,Apr-76,OPERATION THRASHER,https://drive.google.com/file/d/1IScdo1MoOZwIPAmrZ1DdOORKz_pawPOq/view?usp=share_link
NOUAKCHOTT I,268,MAA,6/8/76,6/8/76,NOUAKCHOTT I,https://drive.google.com/open?id=19C7Y67tIpieAPxZZdFHhX5zOXLH2DhQE
IRAQI THREAT,269,SYR,6/9/76,6/17/76,IRAQI THREAT,https://drive.google.com/open?id=1K04uUU_2fH_ZZq4veQwgSNJynOfzZE5W
ENTEBBE RAID,270,ISR; UGA,6/27/76,7/4/76,ENTEBBE RAID,https://drive.google.com/open?id=1A5FXIB3hvPffGD8-qsthlS6ei61zwf1m
SUDAN COUP ATTEMPT,271,SUD,7/2/76,7/15/76,SUDAN COUP ATTEMPT,https://drive.google.com/open?id=1JfmX6xXo4iX9hdguo8lOdL6RdBBmPVWf
AEGEAN SEA I,272,GRC; TUR,8/6/76,9/25/76,AEGEAN SEA I,https://drive.google.com/open?id=1Iwe3CXjXwgEB4DsZAAwWILy3ZX_mpaMa
NAGOMIA RAID,273,MZM,8/9/76,Nov-76,NAGOMIA RAID,https://drive.google.com/open?id=1KRFd4UxFg3atepKXVjlxXpsXAqUU_Tnn
POPLAR TREE,274,USA; PRK,8/17/76,9/16/76,POPLAR TREE,https://drive.google.com/open?id=1p-4O0jRYv4ODBLZC2oI9WY2JeOhBZIgY
SYRIA MOBILIZATION,275,ISR,11/21/76,12/13/76,SYRIA MOBILIZATION,https://drive.google.com/open?id=1WgwrdAACNitmIKtKZlMMq-vQk6_zv122
OPERATION TANGENT,276,BOT,12/20/76,3/31/77,OPERATION TANGENT,https://drive.google.com/open?id=1DQ1FgA0bnZihpD6HffvNgxl3IDSi4VfV
SHABA I,277,DRC; ANG,3/8/77,5/26/77,SHABA I,https://drive.google.com/open?id=1gZ38hQhLtPWwXxe-B0FqTkL1aIH6Zn7j
MAPAI SEIZURE,278,MZM,5/29/77,6/30/77,MAPAI SEIZURE,https://drive.google.com/open?id=1i31Bewboz6lYu3FkqWTubSeUX0vC0nbl
BELIZE II,279,UKG,6/25/77,7/28/77,BELIZE II,https://drive.google.com/open?id=1HI17bwbaltKvauvIpBKENWZzvCdg4OEM
NOUAKCHOTT II,280,MAA,7/3/77,Jul-77,NOUAKCHOTT II,https://drive.google.com/open?id=1kaiHJNCyv7ncVtpiwKh_cVFHTUpKuZoC
EGYPT/LIBYA CLASHES,281,LIB; EGY,7/14/77,9/10/77,EGYPT/LIBYA CLASHES,https://drive.google.com/open?id=1A9ovTPEwb54fktMfPf27Dz1zpuU5T9LQ
OGADEN II,282,ETH; SOM,7/22/77,3/14/78,OGADEN II,https://drive.google.com/open?id=1vb7jGWmss9-RLCdEmsek8afIjgOl33mc
RHODESIA RAID,283,ZAM,8/31/77,8/14/78,RHODESIA RAID,https://drive.google.com/open?id=1AQcAXfdp5IjUb11xtHV1o7ooWSUguSiw
VIETNAM INV./CAMBODIA,284,CAM; DRV; THI,9/24/77,1/7/79,VIETNAM INV./CAMBODIA,https://docs.google.com/document/d/1UXTXqQEU3CX7oU__Xf9iZTgoiv9e9AyJZBARnTufdhE/edit?usp=sharing
FRENCH HOSTAGES MAUR.,285,FRN; ALG,10/25/77,12/23/77,FRENCH HOSTAGES MAUR.,https://drive.google.com/open?id=1zwo0sLBJKHE3tK-iwHfeH1bZj61h4yL7
CHIMOIO-TEMBUE RAIDS,286,MZM,11/23/77,3/22/78,CHIMOIO-TEMBUE RAIDS,https://drive.google.com/open?id=1m9f-kLrJqNmg8ctlkrniDvAhkQWHN99J
BEAGLE CHANNEL I,287,CHL; ARG,12/5/77,2/20/78,BEAGLE CHANNEL I,https://drive.google.com/open?id=1sFa6-w9PuaOaLgUuOAaZxkfztfPAtG1D
CHAD/LIBYA II,288,LIB; CHA,1/22/78,3/27/78,CHAD/LIBYA II,https://drive.google.com/open?id=1lj9SeaNAacbggu50ZA9gwaTp5nIrkVNA
LITANI OPERATION,289,LEB,3/14/78,6/13/78,LITANI OPERATION,https://drive.google.com/open?id=11Z6aQcPAUSHc2JFHOIYjUD_rJc-wB3ND
CHAD/LIBYA III,290,FRN; LIB; CHA,4/15/78,8/29/78,CHAD/LIBYA III,https://drive.google.com/open?id=1okbnC96lxTlcqRS114uYSNJ9XT7joagR
CASSINGA INCIDENT,291,SAF; ANG,5/3/78,5/17/78,CASSINGA INCIDENT,https://drive.google.com/file/d/1h7A_crmM_0cmnSbt68eK8I4eerCJ1J0u/view?usp=share_link
SHABA II,292,DRC; ANG; BEL; USA; FRN,5/11/78,7/30/78,SHABA II,https://drive.google.com/open?id=1hLNqsZhfJBCFMAQ7wlBfLY4uZkeNHlm3
AIR RHODESIA INCDNT.,293,ZIM; ZAM,9/3/78,10/31/78,AIR RHODESIA INCDNT.,https://drive.google.com/file/d/1fjp0HoMhEFPrdvXMczPXBJUAFl878GTt/view?usp=share_link
NICARAGUA CIV WAR II,294,NIC; COS; NIC,9/10/78,7/17/79,NICARAGUA CIV WAR II,https://drive.google.com/open?id=1p1VFPc1v4zIzWtbpd4hKzh2hRHA_60qy
BEAGLE CHANNEL II,295,CHL; ARG,10/16/78,1/8/79,BEAGLE CHANNEL II,https://drive.google.com/open?id=1nwFbB2UficwT3hQOefxZdOF7Gfmaqa4a
FALL OF AMIN,296,TAZ; UGA; LIB,10/30/78,4/10/79,FALL OF AMIN,https://drive.google.com/open?id=1sjtxEorkpdB6R29Jghzoz_l4mkYN4usV
ANGOLA INVASION SCARE,297,ANG,11/7/78,11/14/78,ANGOLA INVASION SCARE,https://drive.google.com/open?id=1oDmlLcPkASLXs-RIXhdZDcGW5yrKBn0m
SINO/VIETNAM WAR,298,CHN; DRV,12/25/78,3/15/79,SINO/VIETNAM WAR,https://drive.google.com/open?id=1abxHwwkJ3l0fPwhtbEYySFR2rjG6WPOT
