Crisis Name,Crisis Num.,Actors,Trig Date,Term Date,Summary Link,Summary URL
HEGEMONY OVER ALBANIA,34,YUG; ALB; ITA,11/28/26,11/22/27,HEGEMONY OVER ALBANIA,https://drive.google.com/open?id=1gvtquGDvLCTOn7DaIxVtQ1YyfEVpwDbm
SHANTUNG,35,CHN; JPN,5/28/27,3/28/29,SHANTUNG,https://drive.google.com/open?id=1Oy53Y-dLL5zyc-cn0LG2aYR45x2Ql4lu
VILNA II,36,LIT; POL,Oct-27,12/10/27,VILNA II,https://drive.google.com/open?id=1-wW0RAG0tD1dosvY5BI070Vduww8VP5w
CHACO I,37,BOL; PAR,12/5/28,9/12/29,CHACO I,https://drive.google.com/open?id=1vMidmXmBmA-O09kTP5cziwSxjVBOxOdM
CHINESEE RAILWAY,38,RUS; CHN,7/10/29,12/22/29,CHINESEE RAILWAY,https://drive.google.com/open?id=1n2rbnio9DIwjpYEjg2fHR1OrBUG71d5T
MUKDEN INCIDENT,39,CHN; JPN,9/18/31,2/18/32,MUKDEN INCIDENT,https://drive.google.com/open?id=1pE_ioklA4ILTwQ8PMgYt3yZV7vDS-ehz
SHANGHAI,40,CHN; JPN,1/24/32,5/5/32,SHANGHAI,https://drive.google.com/open?id=145MmfCnR6sWP4UYqCF9FXZ2bzTdFWRMy
CHACO II,41,PAR; BOL,6/18/32,6/12/35,CHACO II,https://drive.google.com/open?id=1nKZOmypQpSsXOdcF8TNbgxVRtLessnW-
LETICIA,42,COL; PER,9/8/32,5/25/33,LETICIA,https://drive.google.com/open?id=1iyWOsAbDP4dNyLKTp_knEUDRWOaCU1Kx
JEHOL CAMPAIGN,43,CHN,2/23/33,5/31/33,JEHOL CAMPAIGN,https://drive.google.com/open?id=10X5gu-sL_1y8uOPYl5pWrTOEemCVHVj9
SAUDI/YEMEN WAR,44,SAU; YEM,12/18/33,5/20/34,SAUDI/YEMEN WAR,https://drive.google.com/open?id=1hUpA-ceOKz4IgLT_seXZ07-SvKqNnUBM
AUSTRIA PUTSCH,45,AUS; CZE; ITA YUG,7/25/34,7/31/34,AUSTRIA PUTSCH,https://drive.google.com/open?id=1M-VX_BOwb2IV98SNmFhzB2IvUtfnB3V5
ASSN. KING ALEXANDER,46,YUG; HUN,10/8/34,12/10/34,ASSN. KING ALEXANDER,https://drive.google.com/open?id=1-mv7OLh99FZyFUixc3acu3i02l7PN-j5
ETHIOPIAN WAR,47,ETH; UKG; FRN; ITA,12/6/34,5/5/36,ETHIOPIAN WAR,https://drive.google.com/open?id=124O2g93aDyxHwlbvb4IFvn82TXVO_TYo
BULGARIA/TURKEY,48,BUL; TUR,3/6/35,8/31/35,BULGARIA/TURKEY,https://drive.google.com/open?id=1Q_JGwIwFmHe_vm2pfy19fmvysVzyFzU8
KAUNAS TRIALS,49,LIT,3/28/35,9/25/35,KAUNAS TRIALS,https://drive.google.com/open?id=1so-M6xifrjvwDLUD0UvIJgFoARaKugb4
ECUADOR/PERU BDR. I,50,PER; ECU,11/1/35,11/30/35,ECUADOR/PERU BDR. I,https://drive.google.com/open?id=1QQwBtQPDSK6YqA8Xfm5a5l2rF85Edwe-
REMILIT. RHINELAND,51,BEL; CZE; POL; RUM; YUG;FRN; UKG,3/7/36,4/16/36,REMILIT. RHINELAND,https://drive.google.com/open?id=1A4Bt8NWZkplsRDQNgwIKUZIpnbcM1ddq
SPANISH CIVIL WAR I,52,SPN,7/17/36,3/18/37,SPANISH CIVIL WAR I,https://drive.google.com/open?id=187rh7YufsRh6V9rpK-hFay5QVhVNXfCb
ALEXANDRETTA,53,TUR; FRN,9/9/36,6/23/39,ALEXANDRETTA,https://drive.google.com/open?id=1RLtPRQkOUUnTG2ePIDeBdZKUqUp-0sEd
SPANISH CIVIL WAR II,54,ITA; GRM; SPN,5/24/37,5/31/37,SPANISH CIVIL WAR II,https://drive.google.com/open?id=1zyFZ5ihDHeP6qW33VAWfaJD5ShtSSG3x
AMUR RIVER INCIDENT,55,JPN; RUS,6/22/37,7/4/37,AMUR RIVER INCIDENT,https://drive.google.com/open?id=1_s1DEDC17DrdHeOjk2nDbcZe0LYsvtqL
MARCO POLO BRIDGE,56,CHN; JPN,7/8/37,1/16/38,MARCO POLO BRIDGE,https://drive.google.com/open?id=1039yRoS68AUvfyATnLWgkqvdZGmSrCwu
POSTAGESTAMP CRISIS,57,HON; NIC,Aug-37,12/10/37,POSTAGESTAMP CRISIS,https://drive.google.com/open?id=1ppFv3imAfief05mMbVxmyr3S71N864Yf
DOM. REP./HAITI I,58,HAI,10/5/37,1/31/38,DOM. REP./HAITI I,https://drive.google.com/open?id=1-grfToQhGfIZX2bi22s5nksyoZD1s3FH
PANAY INCIDENT,59,USA,12/12/37,12/26/37,PANAY INCIDENT,https://drive.google.com/open?id=11uGh1KQV-Tv-diKQowaMLw3ZezvStC1T
ANSCHLUSS,60,AUS; GMY,2/12/38,3/14/38,ANSCHLUSS,https://drive.google.com/open?id=1zDf2zgmnT1BMfi901QnE6Q35eUM3FhjO
POLISH ULTIMATUM,61,LIT,3/13/38,3/19/38,POLISH ULTIMATUM,https://drive.google.com/open?id=1t26m00sHpdLSdgHlMRb8PkieDwMoy7Nv
CZECH. MAY CRISIS,62,CZE; FRN; UKG; GMY,5/19/38,5/23/38,CZECH. MAY CRISIS,https://drive.google.com/open?id=12jjMc6TscOYn4Cufnaa_DFQxwZvvl3gQ
